1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtFinSF1,BsmtUnfSF,GarageArea,GarageYrBlt,GrLivArea,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice_log,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_LwQ,BsmtFinType1_Rec,BsmtFinType1_Unf,GarageFinish_RFn,GarageFinish_Unf,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA
1479,0.0,3.0,1013,440,558,2003.0,1479,10665,72.0,167.0,29,5,7,1453,2003,2003,12.328290278254425,False,False,False,False,True,False,False,False,True,False,False,True,False
747,0.0,2.0,0,747,220,1945.0,747,4608,47.0,0.0,0,6,4,747,1945,1950,11.289781913656018,False,False,True,False,False,False,False,True,False,True,False,False,True
1304,983.0,3.0,603,701,667,1953.0,2287,15593,81.0,0.0,21,4,7,1304,1953,1953,12.323855681186558,False,False,True,True,False,False,False,False,False,False,False,False,True
2223,0.0,3.0,1880,343,516,1973.0,2223,13651,95.0,1115.0,0,6,7,2223,1973,1973,12.404923504275338,True,False,False,False,False,False,False,False,False,False,False,False,True
845,0.0,2.0,565,280,360,1987.0,845,7599,69.0,0.0,0,6,4,845,1982,2006,11.771436160121729,False,False,True,False,False,False,False,False,False,True,False,False,True
885,833.0,3.0,0,832,427,1998.0,1718,10141,74.0,40.0,94,5,7,832,1998,1998,12.128111104060462,False,False,True,False,False,False,False,True,False,False,False,False,True
1086,0.0,3.0,320,404,490,1989.0,1086,10200,85.0,104.0,0,7,5,1086,1954,2003,11.883799128308771,False,False,True,False,False,False,False,False,False,True,False,False,True
840,765.0,3.0,0,840,379,1915.0,1605,5790,60.0,0.0,0,6,3,840,1915,1950,11.5843154610569,False,False,True,False,False,False,False,True,False,True,False,False,True
526,462.0,2.0,462,0,297,1973.0,988,1596,21.0,0.0,101,5,4,462,1973,1973,11.418614785498988,True,False,False,False,True,False,False,False,False,True,False,False,True
952,0.0,2.0,228,724,283,1956.0,952,8475,69.0,0.0,0,7,4,952,1956,1956,11.818570237796182,False,False,True,False,False,False,False,False,False,True,False,False,True
1072,213.0,2.0,336,295,240,1948.0,1285,8635,50.0,0.0,0,5,5,672,1948,2001,11.751942365440728,False,False,True,True,False,False,False,False,False,True,False,False,True
1768,0.0,4.0,0,1768,0,1980.0,1768,10778,72.0,0.0,0,5,4,1768,1968,1968,11.824079893607152,False,False,True,False,False,False,False,True,False,True,False,False,True
682,548.0,2.0,0,440,440,1966.0,1230,10440,60.0,0.0,0,6,5,440,1910,1981,11.608235644774552,False,False,True,False,False,False,False,True,False,True,False,False,True
1182,960.0,3.0,448,448,509,1968.0,2142,13000,100.0,576.0,72,6,6,896,1968,1968,12.173032791451972,False,False,True,False,False,False,True,False,False,False,False,True,False
1337,0.0,2.0,1201,36,405,1998.0,1337,4500,32.0,443.0,199,5,6,1237,1998,1998,11.941455846009388,False,False,True,False,True,False,False,False,False,False,False,False,True
1563,0.0,3.0,33,1530,758,2007.0,1563,10206,78.0,468.0,99,5,8,1563,2007,2007,12.409013489526863,False,False,True,False,True,False,False,False,True,False,False,True,False
1065,0.0,3.0,0,1065,461,1974.0,1065,8892,80.0,66.0,0,5,5,1065,1960,1960,11.747997587149712,False,False,True,False,False,False,False,True,False,True,False,False,True
804,670.0,3.0,0,384,400,1995.0,1474,8530,69.0,22.0,72,5,7,384,1995,1996,12.034691028774551,False,False,True,False,False,False,False,True,False,False,False,False,True
1301,1116.0,4.0,0,1288,462,1991.0,2417,16059,121.0,284.0,82,5,8,1288,1991,1992,12.468436909997664,False,False,True,False,False,False,False,True,False,True,False,True,False
684,876.0,3.0,0,684,400,2005.0,1560,11911,122.0,0.0,38,5,6,684,2005,2005,12.066810578196666,False,False,False,False,False,False,False,True,False,False,False,True,False
612,612.0,3.0,0,612,528,2009.0,1224,3951,40.0,76.0,234,5,6,612,2009,2009,12.010665849187564,False,False,False,False,False,False,False,True,True,False,False,True,False
1013,0.0,2.0,0,1013,0,1980.0,1526,8470,105.0,0.0,0,2,3,1013,1915,1982,11.350406535472452,False,False,True,False,False,False,False,True,False,True,True,False,False
990,0.0,3.0,588,402,0,1980.0,990,8070,60.0,0.0,0,5,4,990,1994,1995,11.724805824005728,False,False,True,False,False,False,False,True,False,True,False,False,True
1040,0.0,2.0,0,0,420,1950.0,1040,7200,60.0,0.0,29,5,4,0,1950,1950,11.607326140391711,False,False,True,False,False,False,False,True,False,True,False,False,True
1235,0.0,2.0,600,635,480,1961.0,1235,8500,85.0,203.0,0,3,5,1235,1961,1961,11.498826540590729,False,False,True,False,False,False,True,False,False,True,False,False,True
964,0.0,2.0,713,163,432,1921.0,964,13360,80.0,0.0,0,7,5,876,1921,2006,12.004568269319446,False,False,True,False,False,False,False,False,False,True,False,False,True
1260,1031.0,4.0,1046,168,506,1900.0,2291,7200,60.0,0.0,0,6,6,1214,1910,1998,11.804848531679264,False,True,False,False,False,False,True,False,False,True,False,False,True
905,881.0,3.0,648,176,684,1997.0,1786,9337,69.0,0.0,162,5,6,824,1997,1997,12.229545001715316,False,False,True,False,True,False,False,False,True,False,False,True,False
680,790.0,3.0,310,370,420,1993.0,1470,9765,69.0,68.0,63,8,6,680,1993,1993,12.128111104060462,False,False,True,False,False,False,False,True,False,False,False,False,True
1588,0.0,3.0,1162,426,472,1999.0,1588,10264,78.0,183.0,29,5,7,1588,1999,1999,12.273731294003989,False,False,False,False,False,False,False,False,True,False,False,True,False
960,0.0,3.0,520,440,432,1965.0,960,10921,73.0,48.0,0,5,4,960,1965,1965,11.458997122944671,False,False,True,False,False,False,True,False,False,False,False,False,True
835,0.0,2.0,108,350,366,1920.0,835,10625,85.0,0.0,0,5,5,458,1920,1950,11.326595886778737,False,False,True,False,False,False,False,False,False,True,False,False,True
1225,0.0,3.0,569,381,0,1980.0,1225,9320,77.0,0.0,0,5,4,950,1959,1959,11.76718001130949,False,False,True,False,False,False,False,False,False,True,False,False,True
1610,0.0,3.0,1200,410,480,1977.0,1610,10603,69.0,28.0,68,7,6,1610,1977,2001,12.230765258120543,False,True,False,False,False,False,False,False,True,False,False,True,False
977,755.0,3.0,0,741,476,1985.0,1732,9206,77.0,336.0,46,5,6,741,1985,1985,12.089538829274222,False,False,True,False,False,False,False,True,False,False,False,True,False
1535,0.0,4.0,0,0,410,1979.0,1535,7018,64.0,0.0,0,5,5,0,1979,1979,11.686576205316552,False,False,True,False,False,False,False,True,False,True,False,False,True
1226,0.0,3.0,0,1226,740,2009.0,1226,10402,94.0,0.0,36,5,7,1226,2009,2009,12.200557464842063,False,False,True,False,False,False,False,True,True,False,False,True,False
1226,592.0,4.0,224,816,240,1951.0,1818,7758,69.0,600.0,0,4,7,1040,1931,1950,12.04060820580264,False,False,True,False,False,True,False,False,False,True,False,False,True
1053,0.0,3.0,0,1053,648,2003.0,1992,9375,75.0,768.0,45,5,8,1053,2003,2004,12.429216196844385,False,False,True,False,False,False,False,True,True,False,False,True,False
1047,0.0,2.0,0,641,273,1954.0,1047,10800,60.0,0.0,0,7,4,641,1885,1995,11.512925464970229,False,False,True,False,False,False,False,True,False,True,False,False,True
789,0.0,2.0,104,516,250,1948.0,789,6000,50.0,0.0,0,5,5,789,1948,1950,11.652687407345388,False,False,True,False,False,False,False,False,False,True,False,False,True
997,0.0,3.0,0,793,0,1980.0,1517,8500,85.0,0.0,0,7,5,793,1919,2005,11.652687407345388,False,False,True,False,False,False,False,True,False,True,True,False,False
1844,0.0,3.0,705,1139,546,1977.0,1844,11751,105.0,480.0,122,6,6,1844,1977,1977,12.154779351142624,False,False,True,True,False,False,False,False,True,False,False,False,True
1216,639.0,4.0,444,550,325,1954.0,1855,9525,75.0,0.0,0,4,6,994,1954,1972,11.82700601127654,False,False,True,False,False,False,True,False,False,True,False,False,True
774,656.0,3.0,250,134,400,2000.0,1430,7750,69.0,0.0,0,5,7,384,2000,2000,12.100712129872347,False,False,True,False,True,False,False,False,False,False,False,False,True
1282,1414.0,4.0,984,280,792,2007.0,2696,9965,77.0,220.0,184,5,7,1264,2007,2007,12.858319703517948,False,False,False,False,True,False,False,False,False,True,False,False,False
2259,0.0,3.0,35,905,450,1953.0,2259,21000,69.0,184.0,120,5,6,1809,1953,1953,12.287652632522596,False,True,False,False,False,False,False,True,False,True,False,True,False
1436,884.0,3.0,774,104,180,1945.0,2320,7259,61.0,0.0,0,8,6,1028,1945,2002,12.46651198158808,False,False,True,False,False,False,False,False,False,True,False,True,False
729,729.0,2.0,419,310,440,1999.0,1458,3230,34.0,1129.0,32,5,6,729,1999,1999,12.078239274020287,False,False,True,False,True,False,False,False,False,True,False,False,True
1092,0.0,3.0,170,252,288,1962.0,1092,11616,69.0,116.0,20,5,5,1092,1962,1962,11.842229212112828,False,False,True,False,False,True,False,False,False,True,False,False,True
1125,0.0,2.0,0,1125,430,2007.0,1125,8536,74.0,0.0,64,5,5,1125,2006,2007,11.951180395901384,False,False,True,False,False,False,False,True,False,True,False,False,True
1699,1523.0,5.0,1470,203,594,1990.0,3222,12376,90.0,0.0,0,5,7,1673,1990,1990,12.676076274775909,False,True,False,False,True,False,False,False,False,True,False,True,False
728,728.0,3.0,0,728,390,2005.0,1456,8461,65.0,0.0,24,5,6,728,2005,2006,12.007560729337492,False,False,True,False,False,False,False,True,False,False,False,True,False
988,0.0,1.0,938,0,540,1969.0,988,21453,69.0,0.0,130,5,6,938,1969,1969,12.100712129872347,True,False,False,False,False,False,False,False,False,True,False,False,True
772,351.0,3.0,0,732,264,1979.0,1123,6060,50.0,0.0,0,5,4,732,1939,1950,11.512925464970229,False,False,True,False,False,False,False,True,False,True,False,False,True
1080,0.0,3.0,570,510,288,1958.0,1080,9464,75.0,135.0,0,7,6,1080,1958,1958,11.820410164718188,False,False,True,True,False,False,False,False,False,True,False,False,True
1199,0.0,2.0,300,899,530,1993.0,1199,7892,55.0,0.0,63,5,6,1199,1993,1993,11.94405831982697,False,False,True,False,True,False,False,False,True,False,False,True,False
1586,0.0,3.0,0,1362,435,1979.0,1586,17043,48.0,0.0,0,5,6,1362,1979,1998,12.106252310247962,False,False,True,False,False,False,False,True,False,True,False,False,True
520,0.0,2.0,490,30,0,1980.0,754,6780,60.0,0.0,0,8,6,520,1935,1982,11.344506813345266,False,False,False,False,True,False,False,False,False,True,False,False,True
958,0.0,2.0,120,958,440,1977.0,958,4928,69.0,0.0,205,5,6,1078,1976,1976,11.759785542901756,False,False,True,False,False,False,False,False,True,False,False,False,True
840,0.0,3.0,116,556,0,1980.0,840,4388,55.0,0.0,0,7,5,672,1930,1950,11.37366339763672,False,False,True,False,False,True,False,False,False,True,False,False,True
660,688.0,3.0,512,148,453,1966.0,1348,7590,69.0,266.0,108,5,6,660,1966,1966,11.951180395901384,False,False,True,True,False,False,False,False,True,False,False,False,True
1053,0.0,3.0,567,413,750,1998.0,1053,8973,69.0,85.0,80,7,5,1008,1958,1991,11.918390573078392,False,False,True,False,False,False,True,False,True,False,False,False,False
1216,941.0,4.0,445,479,487,1966.0,2157,14200,88.0,309.0,66,6,7,924,1966,1966,12.328290278254425,False,False,True,False,False,False,True,False,False,True,False,True,False
1022,1032.0,3.0,695,297,390,2000.0,2054,12224,69.0,40.0,48,5,6,992,2000,2000,12.404923504275338,False,False,True,False,True,False,False,False,True,False,False,True,False
1327,0.0,3.0,405,658,624,1974.0,1327,7388,75.0,0.0,0,6,5,1063,1959,2002,11.923378114589433,False,False,True,False,False,False,True,False,False,True,False,True,False
1296,0.0,2.0,1005,262,471,2001.0,1296,6853,69.0,136.0,25,5,8,1267,2001,2002,12.301382825334498,False,False,True,False,True,False,False,False,False,False,False,True,False
1721,0.0,3.0,570,891,440,1968.0,1721,10335,78.0,0.0,96,6,5,1461,1968,1993,12.100712129872347,False,False,True,False,False,False,True,False,True,False,False,False,True
1682,0.0,3.0,0,1304,530,1970.0,1682,10400,80.0,288.0,0,6,7,1304,1970,1970,12.066810578196666,False,False,True,False,False,False,False,True,False,True,False,False,True
1214,0.0,3.0,695,519,318,1967.0,1214,10355,69.0,196.0,111,5,5,1214,1967,1967,11.870599909242044,False,False,True,True,False,False,False,False,True,False,False,False,True
1959,0.0,5.0,0,1907,766,1989.0,1959,11070,82.0,70.0,0,5,7,1907,1988,1989,12.049418835484795,False,False,True,False,False,False,False,True,False,True,False,False,True
1004,848.0,3.0,668,336,660,1999.0,1852,9066,73.0,320.0,106,5,8,1004,1999,2000,12.345834587905332,False,True,False,False,True,False,False,False,False,False,False,True,False
928,836.0,3.0,821,107,470,1997.0,1764,15426,65.0,0.0,99,5,6,928,1997,1997,12.352335152508426,False,False,True,False,True,False,False,False,True,False,False,True,False
864,0.0,3.0,432,432,0,1980.0,864,10500,70.0,0.0,0,5,4,864,1971,1971,11.652687407345388,False,False,True,False,False,False,False,False,False,True,False,False,True
1734,0.0,3.0,1300,434,660,2005.0,1734,11645,78.0,0.0,24,5,7,1734,2005,2005,12.468436909997664,False,False,False,False,True,False,False,False,False,True,False,True,False
910,0.0,4.0,507,403,720,2000.0,1385,8520,71.0,0.0,0,4,5,910,1952,1952,12.01974306733868,False,False,True,False,False,False,True,False,False,True,False,False,True
1501,0.0,3.0,679,811,577,1999.0,1501,10335,78.0,183.0,29,5,7,1490,1999,1999,12.225875272826354,True,False,False,False,True,False,False,False,True,False,False,True,False
1728,0.0,6.0,1332,396,504,1963.0,1728,9100,70.0,336.0,0,5,5,1728,1963,1963,11.736069016284436,False,False,True,False,False,False,True,False,False,True,False,False,True
970,739.0,3.0,0,970,380,2004.0,1709,2522,24.0,50.0,40,5,6,970,2004,2006,11.77528972943772,False,False,True,False,False,False,False,True,False,True,False,True,False
875,0.0,2.0,209,506,180,1931.0,875,6120,51.0,0.0,0,7,5,715,1931,1993,11.56171562913966,False,False,True,True,False,False,False,False,False,True,False,False,True
884,1151.0,3.0,0,884,434,2001.0,2035,9505,69.0,180.0,48,5,7,884,2001,2001,12.312682380588432,False,False,True,False,False,False,False,True,False,False,False,True,False
1080,0.0,3.0,680,400,0,1980.0,1080,7500,63.0,120.0,0,5,7,1080,2004,2005,11.856515169360303,False,False,True,False,True,False,False,False,False,True,False,True,False
896,448.0,3.0,0,896,240,1936.0,1344,6240,69.0,0.0,114,4,5,896,1936,1950,11.652687407345388,False,False,True,False,False,False,False,True,False,True,False,False,True
969,0.0,3.0,716,253,440,1975.0,969,10356,120.0,0.0,0,6,5,969,1975,1975,11.711776323715394,False,False,False,True,False,False,False,False,False,True,False,False,True
1710,0.0,2.0,1400,310,866,2007.0,1710,13891,107.0,436.0,102,5,8,1710,2007,2008,12.827729194939907,True,False,False,False,False,False,False,True,True,False,False,True,False
1097,896.0,4.0,416,409,495,1971.0,1993,14803,69.0,252.0,66,5,6,825,1971,1971,12.154779351142624,False,False,True,False,False,False,True,False,True,False,False,False,True
1252,0.0,1.0,429,93,564,1960.0,1252,13500,69.0,0.0,0,7,6,1602,1960,1975,12.367340793126296,True,False,False,True,False,False,False,False,True,False,False,False,True
1200,0.0,4.0,0,1200,312,1923.0,1200,11340,84.0,0.0,0,5,6,1200,1923,1950,11.736069016284436,False,False,True,False,False,False,False,True,False,True,False,False,True
572,524.0,2.0,0,572,0,1980.0,1096,9600,60.0,0.0,8,5,6,572,1924,1950,11.27720313144916,False,False,True,False,False,False,False,True,False,True,False,False,True
1040,0.0,2.0,0,0,625,1950.0,1040,7200,60.0,0.0,0,7,5,0,1950,1950,11.603679828238691,False,False,True,False,False,False,False,True,False,True,False,False,True
774,1194.0,4.0,0,774,680,2009.0,1968,12003,92.0,84.0,75,5,8,774,2009,2010,12.504323669331187,False,False,True,False,False,False,False,True,False,False,False,False,False
